epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8687.12,1.49292,1.93259,1.35077,0.47102,0.53655,0.51524,0.38317,1.12291,1.27186,1.05579,0.00138931,0.000463102,0.00138931,0.000463102,0.00138931,0.000463102,0.00138931,0.000463102
2,15820,1.16415,1.00605,1.09164,0.71188,0.62687,0.60022,0.46099,1.01684,0.87362,1.00764,0.0027625,0.000920834,0.0027625,0.000920834,0.0027625,0.000920834,0.0027625,0.000920834
3,22302,1.06562,0.7972,1.02887,0.89898,0.74458,0.82267,0.56926,0.98813,0.73664,0.98927,0.00407911,0.0013597,0.00407911,0.0013597,0.00407911,0.0013597,0.00407911,0.0013597
4,28595.6,1.02192,0.70094,1.00563,0.83261,0.84775,0.90916,0.63301,1.00758,0.6056,0.98976,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,35004.5,0.99844,0.63124,1.00042,0.84062,0.96275,0.96817,0.67918,1.02178,0.56237,0.98601,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,41621,0.98083,0.60415,0.98436,0.84846,0.97455,0.96162,0.66544,0.96331,0.53468,0.97068,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,48264.7,0.96105,0.58437,0.98331,0.8951,0.97244,0.97541,0.68516,0.9819,0.54308,0.97313,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
